"PARADISO NUOVA Middle Room at Medini Iskandar Puteri, Johor Bahru","johor","Iskandar Puteri, Johor Bahru","RM 750.00","2019-07-26","25/07/2019","7","7426880"
"PARADISO NUOVA Master Room at Medini Iskandar Puteri, Johor Bahru","johor","Iskandar Puteri, Johor Bahru","RM 850.00","2019-07-26","25/07/2019","7","7426886"
"Master Room at Tropez Residences, Danga Bay","johor","Tropez Residences, Danga Bay","RM 600.00","2019-07-26","25/07/2019","7","7429804"
"Middle Room at D'Inspire Residence, Iskandar Puteri","johor","D'Inspire Residence, Iskandar Puteri","RM 750.00","2019-07-26","25/07/2019","7","7429740"
"PARADISO NUOVA Middle Room at Medini, Iskandar Puteri, Johor Bahru","johor","Iskandar Puteri, Johor Bahru","RM 750.00","2019-07-26","25/07/2019","7","7426888"
"Middle Room at Johor Bahru, Johor","johor","Johor Bahru, Johor","RM 250.00","2019-07-26","25/07/2019","7","7429779"
"Master Room at Tropez Residences, Danga Bay","johor","Tropez Residences, Danga Bay","RM 600.00","2019-07-26","25/07/2019","7","7429618"
"Master Room at Iskandar Puteri, Johor Bahru","johor","Iskandar Puteri, Johor Bahru","RM 600.00","2019-07-26","25/07/2019","7","7429431"
"Middle Room at D Tasek Service Apartment, Johor Bahru - Female Only","johor","D Tasek Service Apartment, Johor Bahru","RM 490.00","2019-07-26","25/07/2019","7","7429709"
"Master Room at Bukit Indah, Johor Bahru (free WiFi, air cond)","johor","Bukit Indah, Johor Bahru","RM 480.00","2019-07-26","25/07/2019","7","7429571"
"Master Room at Medini, Iskandar Puteri","johor","Medini, Iskandar Puteri","RM 750.00","2019-07-26","25/07/2019","7","7429504"
"Middle Room at Bayu Puteri 3, Johor Bahru","johor","Bayu Puteri 3, Johor Bahru","RM 500.00","2019-07-26","25/07/2019","7","7429621"
"Middle Room at Taman Nusa Bestari 2, Iskandar Puteri","johor","Taman Nusa Bestari 2, Iskandar Puteri","RM 350.00","2019-07-26","25/07/2019","7","7429572"
"Master Room at Bayu Puteri 3, Johor Bahru","johor","Bayu Puteri 3, Johor Bahru","RM 600.00","2019-07-26","25/07/2019","7","7429612"
"Bilik room Desaru near Pengerang incl utilities, with housekeeping","johor","Kota Tinggi, Johor","RM 550.00","2019-07-26","25/07/2019","7","6696416"
"Middle Room at Taman Ungku Tun Aminah, Skudai","johor","Taman Ungku Tun Aminah, Skudai","RM 450.00","2019-07-26","25/07/2019","7","7429205"
