"Fully furnished and spacious MEDIUM ROOM","johor","Horizon Hills, Iskandar Puteri","RM 850.00","2019-08-30","29/08/2019","7","7444298"
"Jb Room for rent at Nusa Bestari, Bukit Indah","johor","Bukit Indah, Johor Bahru","RM 450.00","2019-08-30","29/08/2019","7","7444262"
"Room for rent","johor","Iskandar Puteri, Johor Bahru","RM 450.00","2019-08-30","29/08/2019","7","7444270"
"Single Room at Skudai, Johor Bahru","johor","Skudai, Johor Bahru","RM 450.00","2019-08-30","29/08/2019","7","7444251"
"Studio at Almas, Puteri Harbour","johor","Almas, Puteri Harbour","RM 1300.00","2019-08-30","29/08/2019","7","7444218"
"Single Room at Taman Stulang Laut, Johor Bahru (kerja SG)","johor","Taman Stulang Laut, Johor Bahru","RM 350.00","2019-08-30","29/08/2019","7","7414265"
"CIQ,JB central,Larkin,Master Room at SuriaMas Suites, Johor Bahru","johor","SuriaMas Suites, Johor Bahru","RM 750.00","2019-08-30","29/08/2019","7","7374432"
"CIQ,JB central,Custom,Master Room at Sky Habitat, Johor Bahru","johor","Sky Habitat, Johor Bahru","RM 1000.00","2019-08-30","29/08/2019","7","7373874"
"Single Room at SuriaMas Suites, Johor Bahru","johor","SuriaMas Suites, Johor Bahru","RM 450.00","2019-08-30","29/08/2019","7","7444204"
"Near CIQ,JBcentral,Middle Room at Seasons Luxury Apartments, Johor Bahru","johor","Seasons Luxury Apartments, Johor Bahru","RM 700.00","2019-08-30","29/08/2019","7","7373926"
"Middle Room at Skudai, Johor Bahru","johor","Skudai, Johor Bahru","RM 350.00","2019-08-30","29/08/2019","7","7399997"
"Larkin,Near CIQ,Single Room at Seasons Luxury Apartments, Johor Bahru","johor","Seasons Luxury Apartments, Johor Bahru","RM 450.00","2019-08-30","29/08/2019","7","7378149"
"Near CIQ,Walk to CIQ,Middle Room at Sky Habitat, Johor Bahru","johor","Sky Habitat, Johor Bahru","RM 850.00","2019-08-30","29/08/2019","7","7380472"
"Fully furnished common room with private bathroom @ Horizon Hills (Canal Garden North)","johor","Horizon Hills, Iskandar Puteri","RM 650.00","2019-08-30","29/08/2019","7","7444179"
"Single Room at Johor Bahru, Johor","johor","Johor Bahru, Johor","RM 1000.00","2019-08-30","29/08/2019","7","7444104"
"Master Room at Permas Jaya, Johor Bahru","johor","Permas Jaya, Johor Bahru","RM 600.00","2019-08-30","29/08/2019","7","7444087"
"Townhouse Room at Bandar Seri Alam, Pasir Gudang","johor","Bandar Seri Alam, Pasir Gudang","RM 450.00","2019-08-30","29/08/2019","7","7444072"
"Fully Furnished Medium Room for rent","johor","SuriaMas Suites, Johor Bahru","RM 600.00","2019-08-30","29/08/2019","7","7443388"
"Tastefully furnished Master Room for RENT","johor","Horizon Hills, Iskandar Puteri","RM 1100.00","2019-08-30","29/08/2019","7","7443974"
"Single Room Near Bukit Indah at Taman Perling, Iskandar Puteri (Free WiFi, utility included)","johor","Taman Perling, Iskandar Puteri","RM 350.00","2019-08-30","29/08/2019","7","7443946"
"Middle Room at Muar, Johor","johor","Muar, Johor","RM 450.00","2019-08-30","29/08/2019","7","7443956"
"Master Room at Ruby Condominium, Muar, Johor. 2 minutes drive to hospital Muar.","johor","Muar, Johor","RM 500.00","2019-08-30","29/08/2019","7","7443953"
"Middle Room at Taman Universiti, Skudai","johor","Taman Universiti, Skudai","RM 270.00","2019-08-30","29/08/2019","7","7444016"
"acond 1 minute near to JBCIQ, CITY SQ, Utilities paid for all Malaysian.","johor","City Square Office Tower, Johor Bahru","RM 470.00","2019-08-30","28/08/2019","7","7443788"
"Middle Room at SuriaMas Suites, Johor Bahru","johor","SuriaMas Suites, Johor Bahru","RM 800.00","2019-08-30","28/08/2019","7","7428068"
"Middle Room at Permas Jaya, Johor Bahru","johor","Permas Jaya, Johor Bahru","RM 450.00","2019-08-30","28/08/2019","7","7443636"
"Middle Room at Setia Tropika, Johor Bahru","johor","Setia Tropika, Johor Bahru","RM 600.00","2019-08-30","28/08/2019","7","7443511"
"1 Middle Room for rent at Permas Jaya, Johor Bahru","johor","Permas Jaya, Johor Bahru","RM 600.00","2019-08-30","28/08/2019","7","7433058"
"Single Room at Bandar Putra, Kulai","johor","Bandar Putra, Kulai","RM 350.00","2019-08-30","28/08/2019","7","7443552"
"Master Room at SuriaMas Suites, Johor Bahru","johor","SuriaMas Suites, Johor Bahru","RM 900.00","2019-08-30","28/08/2019","7","7443524"
