"Middle Room at Johor Bahru, Johor","johor","Taman Perling, Iskandar Puteri","RM 250.00","2019-06-28","27/06/2019","7","7417464"
"Near CIQ / JB Custom Balcony Room. 12 mins walking distance. Free utilitise and WIFI. Not living with owner.","johor","Johor Bahru, Johor","RM 1000.00","2019-06-28","27/06/2019","7","7405887"
"12mins Walk to CIQ-JB Custom. Opposite R&F Mall. Free utilitise and WIFI. Not living with owner. No agent fee.","johor","Skysuites @ Meldrum Hills, Johor Bahru","RM 800.00","2019-06-28","27/06/2019","7","7417885"
"Single Room at Taman Pelangi, Johor Bahru","johor","Taman Pelangi, Johor Bahru","RM 650.00","2019-06-28","27/06/2019","7","7417910"
"Single Room at Sky Peak Residences, Johor Bahru","johor","Sky Peak Residences, Johor Bahru","RM 600.00","2019-06-28","27/06/2019","7","7417814"
"Middle Room at Sky Peak Residences, Johor Bahru","johor","Sky Peak Residences, Johor Bahru","RM 700.00","2019-06-28","27/06/2019","7","7417818"
"Single Room at Bandar Baru Uda, Johor Bahru","johor","Bandar Baru Uda, Johor Bahru","RM 350.00","2019-06-28","27/06/2019","7","7417323"
"Single Room at Taman Kempas, Johor Bahru","johor","Taman Kempas, Johor Bahru","RM 350.00","2019-06-28","27/06/2019","7","7417754"
"Single Room at Pasir Gudang, Johor Bahru","johor","Pasir Gudang, Johor Bahru","RM 500.00","2019-06-28","27/06/2019","7","7417624"
"Middle Room at Setia Indah, Tebrau","johor","Setia Indah, Tebrau","RM 500.00","2019-06-28","27/06/2019","7","7417605"
"Middle Room at The Twin Residences, Johor Bahru","johor","The Twin Residences, Johor Bahru","RM 700.00","2019-06-28","27/06/2019","7","7415941"
"2019 good feng shui at senai,kulai fully furnish medium room for rent include utility fee","johor","Senai, Johor Bahru","RM 300.00","2019-06-28","27/06/2019","7","7397315"
"Middle Room at Sky Habitat, Johor Bahru","johor","Sky Habitat, Johor Bahru","RM 850.00","2019-06-28","27/06/2019","7","7397499"
"Single/Shared Room at Taman Mount Austin, Tebrau","johor","Taman Mount Austin, Tebrau","RM 250.00","2019-06-28","27/06/2019","7","7417738"
"Executive Room at Taman Sentosa, Johor Bahru","johor","Taman Sentosa, Johor Bahru","RM 650.00","2019-06-28","27/06/2019","7","7417626"
"Middle Room at Taman Universiti, Skudai","johor","Taman Universiti, Skudai","RM 350.00","2019-06-28","27/06/2019","7","7417632"
"Middle Room at Sky Habitat, Johor Bahru","johor","Sky Habitat, Johor Bahru","RM 650.00","2019-06-28","27/06/2019","7","7415930"
"Single Room at Bukit Indah, Johor Bahru (free WiFi, utility included)","johor","Bukit Indah, Johor Bahru","RM 340.00","2019-06-28","27/06/2019","7","7417628"
"Middle Room at SuriaMas Suites, Johor Bahru","johor","SuriaMas Suites, Johor Bahru","RM 650.00","2019-06-28","27/06/2019","7","7415947"
"Aircond Room for rent at Nusa Bestari (Bukit Indah) CW bus to Sg","johor","Skudai, Johor Bahru","RM 450.00","2019-06-28","27/06/2019","7","7416460"
"?????????RM450","johor","Taman Ungku Tun Aminah, Skudai","RM 450.00","2019-06-28","27/06/2019","7","7417522"
"Middle Room at Skudai, Johor Bahru","johor","Skudai, Johor Bahru","RM 550.00","2019-06-28","27/06/2019","7","7417303"
"Kulai/senai Only RM300 President suite room fully furnish 2019,included utility fee.. Direct deal owner","johor","Bandar Indahpura, Kulai","RM 300.00","2019-06-28","27/06/2019","7","7397350"
"Single Room at Taman Perling, Iskandar Puteri (Near Bukit Indah, Utilities Included)","johor","Taman Perling, Iskandar Puteri","RM 320.00","2019-06-28","27/06/2019","7","7417627"
"Single Room @ Seri Anugerah, Larkin, Johorh Bahru","johor","Johor Bahru, Johor","RM 300.00","2019-06-28","26/06/2019","7","7417555"
"Middle Room @ Seri Anugerah, Larkin, Johor Bahru","johor","Johor Bahru, Johor","RM 350.00","2019-06-28","26/06/2019","7","7417557"
"Middle Room at Octville Townhouse, Pasir Gudang","johor","Octville Townhouse, Pasir Gudang","RM 450.00","2019-06-28","26/06/2019","7","7417488"
"Middle Room at Johor Bahru, Johor","johor","Johor Bahru, Johor","RM 650.00","2019-06-28","26/06/2019","7","7417510"
"Middle Room at Skudai, Johor Bahru","johor","Skudai, Johor Bahru","RM 600.00","2019-06-28","26/06/2019","7","7417291"
"Middle Room at Setia Indah, Tebrau","johor","Setia Indah, Tebrau","RM 650.00","2019-06-28","26/06/2019","7","7417526"
"Single Room at Taman Perling, Iskandar Puteri","johor","Taman Perling, Iskandar Puteri","RM 400.00","2019-06-28","26/06/2019","7","7417500"
"Middle Room at Taman Perling, Iskandar Puteri","johor","Taman Perling, Iskandar Puteri","RM 500.00","2019-06-28","26/06/2019","7","7417509"
"Middle Room at Bandar Indahpura, Kulai","johor","Bandar Indahpura, Kulai","RM 550.00","2019-06-28","26/06/2019","7","7417342"
"Middle Room at SkyView Apartment Bukit Indah, Johor Bahru","johor","Bukit Indah, Johor Bahru","RM 550.00","2019-06-28","26/06/2019","7","7417268"
"Middle Room at Taman Nusa Perintis 2, Iskandar Puteri","johor","Taman Nusa Perintis 2, Iskandar Puteri","RM 550.00","2019-06-28","26/06/2019","7","7417296"
"Master Room at Pelita Indah Condominium, Johor Bahru","johor","Pelita Indah Condominium, Johor Bahru","RM 800.00","2019-06-28","26/06/2019","7","7417393"
"Master Room at Country Garden, Danga Bay","johor","Country Garden, Danga Bay","RM 800.00","2019-06-28","26/06/2019","7","7417396"
"????????????2019???????????????????","johor","Senai, Johor Bahru","RM 300.00","2019-06-28","26/06/2019","7","7397344"
"??,senai,??,kulai,jalan rajawali,bandar putra kulai,fully furnish,include utiliy","johor","Skudai, Johor Bahru","RM 300.00","2019-06-28","26/06/2019","7","7303734"
"Middle Room at Taman Megah Ria, Pasir Gudang","johor","Taman Megah Ria, Pasir Gudang","RM 450.00","2019-06-28","26/06/2019","7","7417181"
"Middle Room at Taman Molek, Johor Bahru","johor","Taman Molek, Johor Bahru","RM 430.00","2019-06-28","26/06/2019","7","7376137"
"Single Room at Bukit Indah, Johor Bahru","johor","Bukit Indah, Johor Bahru","RM 350.00","2019-06-28","26/06/2019","7","7417275"
"Single Room at Taman Perling, Iskandar Puteri (Near Bukit Indah, Utilities Included)","johor","Taman Perling, Iskandar Puteri","RM 320.00","2019-06-28","26/06/2019","7","7417196"
"Master Room at Taman Pelangi, Johor Bahru","johor","Taman Pelangi, Johor Bahru","RM 450.00","2019-06-28","26/06/2019","7","7416868"
"2019,??RM300!???????????????????????","johor","Kulai, Johor Bahru","RM 300.00","2019-06-28","26/06/2019","7","7397319"
"Middle Room at Taman Mount Austin, Tebrau","johor","Taman Mount Austin, Tebrau","RM 550.00","2019-06-28","26/06/2019","7","7417233"
"Medium Room at Taman Nusa Bestari 2, Iskandar Puteri (Near Bukit Indah, Utilities Included)","johor","Taman Nusa Bestari 2, Iskandar Puteri","RM 350.00","2019-06-28","26/06/2019","7","7417200"
"Master Room at Setia Indah, Tebrau","johor","Setia Indah, Tebrau","RM 800.00","2019-06-28","26/06/2019","7","7417113"
"Furnished Room at Apartment Vista Seri Alam, Pasir Gudang","johor","Bandar Seri Alam, Pasir Gudang","RM 350.00","2019-06-28","26/06/2019","7","7417067"
"Single Room at Taman Universiti, Skudai","johor","Taman Universiti, Skudai","RM 250.00","2019-06-28","26/06/2019","7","7417177"
"Room Rent Pengerang Desaru Utama Penawar 10mins to Desaru Coast Medium A/C Room incl utils","johor","Kota Tinggi, Johor","RM 700.00","2019-06-28","26/06/2019","7","7399410"
"Middle Room at M Condominium, Johor Bahru","johor","M Condominium, Johor Bahru","RM 670.00","2019-06-28","26/06/2019","7","7417242"
"Kulai,Senai,Skudai Direct deal owner,Fully Furnished Middle Room at Kulai, Johor Bahru only RM300 include utility.","johor","Kulai, Johor Bahru","RM 300.00","2019-06-28","26/06/2019","7","7390594"
"Middle Room at Horizon Residence, Iskandar Puteri","johor","Horizon Residence, Iskandar Puteri","RM 650.00","2019-06-28","25/06/2019","7","7416983"
"All In Fully Furnished Room Permas Jaya, Johor Bahru (25min to CIQ/SG)","johor","Permas Jaya, Johor Bahru","RM 700.00","2019-06-28","25/06/2019","7","7417040"
"Master Room at Horizon Residence, Iskandar Puteri","johor","Horizon Residence, Iskandar Puteri","RM 850.00","2019-06-28","25/06/2019","7","7416981"
"Master Room at Taman Pelangi, Johor Bahru","johor","Taman Pelangi, Johor Bahru","RM 400.00","2019-06-28","25/06/2019","7","7416293"
"Master Room at M Condominium, Johor Bahru","johor","M Condominium, Johor Bahru","RM 850.00","2019-06-28","25/06/2019","7","7350040"
"Middle Room at M Condominium, Johor Bahru","johor","M Condominium, Johor Bahru","RM 650.00","2019-06-28","25/06/2019","7","7417023"
"Single Room at Bukit Indah, Johor Bahru","johor","Bukit Indah, Johor Bahru","RM 730.00","2019-06-28","25/06/2019","7","7415881"
"Aliff Residences / Aliff Utama Studio PARTLY FURNISHED for rent Next to Capital City Mall Johor Bahru JB off Jalan Tampoi near Aliff Damansara","johor","Johor Bahru, Johor","RM 1000.00","2019-06-28","25/06/2019","7","7370628"
"Master Room at Taman Mount Austin, Tebrau","johor","Taman Mount Austin, Tebrau","RM 750.00","2019-06-28","25/06/2019","7","7416906"
"Studio at Taman Kempas, Johor Bahru","johor","Taman Kempas, Johor Bahru","RM 650.00","2019-06-28","25/06/2019","7","7416825"
"Middle Room at Sky Habitat, Johor Bahru","johor","Sky Habitat, Johor Bahru","RM 650.00","2019-06-28","25/06/2019","7","7416625"
"Setia Tropika Gated & Guarded (EDL), Middle room with Wifi for Female","johor","Johor Bahru, Johor","RM 550.00","2019-06-28","25/06/2019","7","7416114"
"Single Room at Sky Habitat, Johor Bahru","johor","Sky Habitat, Johor Bahru","RM 550.00","2019-06-28","25/06/2019","7","7416637"
"Middle Room at Taman Desa Cemerlang, Ulu Tiram","johor","Taman Desa Cemerlang, Ulu Tiram","RM 550.00","2019-06-28","25/06/2019","7","7366403"
"Master Room at Taman Ungku Tun Aminah, Skudai","johor","Taman Ungku Tun Aminah, Skudai","RM 650.00","2019-06-28","25/06/2019","7","7416736"
"Room at Indah Court Apartments, Bukit Indah, Johor Bahru","johor","Bukit Indah, Johor Bahru","RM 400.00","2019-06-28","25/06/2019","7","7367520"
"Single Room at Taman Perling, Iskandar Puteri (Near Bukit Indah, Utilities Included)","johor","Taman Perling, Iskandar Puteri","RM 320.00","2019-06-28","25/06/2019","7","7416668"
"Middle Room at Taman Universiti, Skudai","johor","Taman Universiti, Skudai","RM 350.00","2019-06-28","25/06/2019","7","7416733"
"Designer Middle Room [Includes Utilities] @ Bukit Indah, Nusajaya","johor","Iskandar Puteri, Johor Bahru","RM 650.00","2019-06-28","25/06/2019","7","7384510"
"Master Room in Desaru near Pengerang own toilet, incl utilities","johor","Kota Tinggi, Johor","RM 800.00","2019-06-28","25/06/2019","7","7405830"
"Middle Room at City Square Office Tower, Johor Bahru","johor","City Square Office Tower, Johor Bahru","RM 450.00","2019-06-28","25/06/2019","7","7416009"
"Middle Room with Private Bathroom [Includes Utilities]","johor","Nusajaya, Johor Bahru","RM 800.00","2019-06-28","25/06/2019","7","7384505"
"Middle Room at Taman Bandar, Batu Pahat","johor","Taman Bandar, Batu Pahat","RM 340.00","2019-06-28","25/06/2019","7","7381404"
"Middle Room at SuriaMas Suites, Johor Bahru","johor","SuriaMas Suites, Johor Bahru","RM 420.00","2019-06-28","25/06/2019","7","7416726"
"Master Room at Taman Ungku Tun Aminah, Skudai","johor","Taman Ungku Tun Aminah, Skudai","RM 650.00","2019-06-28","25/06/2019","7","7416197"
"Single Room at Bukit Indah, Johor Bahru (free WiFi, utility included)","johor","Bukit Indah, Johor Bahru","RM 340.00","2019-06-28","25/06/2019","7","7416665"
"Single Room at Tebrau City Residence Apartment, Johor Bahru","johor","Tebrau City Residence Apartment, Johor Bahru","RM 450.00","2019-06-28","25/06/2019","7","7416555"
"Middle Room at Johor Bahru, Johor","johor","Johor Bahru, Johor","RM 750.00","2019-06-28","25/06/2019","7","7416514"
"Master Room at Sky Habitat, Johor Bahru","johor","Sky Habitat, Johor Bahru","RM 1000.00","2019-06-28","25/06/2019","7","7416635"
"Single Room at Taman Nusantara, Iskandar Puteri","johor","Taman Nusantara, Iskandar Puteri","RM 320.00","2019-06-28","25/06/2019","7","7416119"
"Middle Room at Taman Bandar, Batu Pahat","johor","Taman Bandar, Batu Pahat","RM 360.00","2019-06-28","25/06/2019","7","7381417"
"Single Room at M Condominium, Johor Bahru","johor","M Condominium, Johor Bahru","RM 580.00","2019-06-28","24/06/2019","7","7416373"
"Single Room at Austin Duta, Johor Bahru","johor","Austin Duta, Johor Bahru","RM 600.00","2019-06-28","24/06/2019","7","7415998"
"Impian Senibong Residensi - Single Room for Rent","johor","Permas Jaya, Johor Bahru","RM 500.00","2019-06-28","24/06/2019","7","7414945"
"Middle Room at Kota Masai, Pasir Gudang","johor","Kota Masai, Pasir Gudang","RM 550.00","2019-06-28","24/06/2019","7","7416037"
"Master Room at 1Tebrau, Johor Bahru","johor","1Tebrau, Johor Bahru","RM 1100.00","2019-06-28","24/06/2019","7","7368389"
"Single Room at Larkin Utama, Johor Bahru","johor","Larkin Utama, Johor Bahru","RM 300.00","2019-06-28","24/06/2019","7","7348616"
"Sewa bilik - Berhampiran HSA & KPJ, Pusat Bandar, Tmn Pelangi, Tebrau & Larkin","johor","Johor Bahru, Johor","RM 270.00","2019-06-28","24/06/2019","7","7110363"
"Master Room with Air conditioning at Pulai View","johor","Skudai, Johor Bahru","RM 650.00","2019-06-28","24/06/2019","7","7415688"
"Single Room with Balcony [Includes Utilities] at Bukit Indah, Iskandar Puteri, Nusajaya","johor","Bukit Indah, Iskandar Puteri","RM 600.00","2019-06-28","24/06/2019","7","7376723"
"Master Room with Private Balcony at 1Tebrau, Johor Bahru","johor","1Tebrau, Johor Bahru","RM 950.00","2019-06-28","24/06/2019","7","7377066"
"Master Room at Taman Rinting, Pasir Gudang","johor","Taman Rinting, Pasir Gudang","RM 250.00","2019-06-28","24/06/2019","7","7416360"
"Single Room at Taman Mount Austin, Tebrau","johor","Taman Mount Austin, Tebrau","RM 550.00","2019-06-28","24/06/2019","7","7415913"
"Middle Room at Taman Rinting, Pasir Gudang","johor","Taman Rinting, Pasir Gudang","RM 250.00","2019-06-28","24/06/2019","7","7416127"
"Single Room at Taman Mount Austin, Tebrau","johor","Taman Mount Austin, Tebrau","RM 550.00","2019-06-28","24/06/2019","7","7415915"
"Master Room at Bukit Indah [Includes Utilities]","johor","Nusajaya, Johor Bahru","RM 900.00","2019-06-28","24/06/2019","7","7384500"
"Designer Master Room at Horizon Hills, Iskandar Puteri [Includes Utilities]","johor","Iskandar Puteri, Johor Bahru","RM 880.00","2019-06-28","24/06/2019","7","7384508"
"Rooms Near HSNI Batu Pahat For Rent.","johor","Batu Pahat, Johor","RM 600.00","2019-06-28","24/06/2019","7","7416273"
"Master Room at Sky Habitat, Johor Bahru","johor","Sky Habitat, Johor Bahru","RM 1000.00","2019-06-28","24/06/2019","7","7415736"
"Master Room at Taman Desa Tebrau, Johor Bahru (Near HSI, Ikea, Jusco, Toppen Mall)","johor","Taman Desa Tebrau, Johor Bahru","RM 600.00","2019-06-28","24/06/2019","7","7415718"
"Master Room at Johor Bahru, Johor","johor","Johor Bahru, Johor","RM 600.00","2019-06-28","24/06/2019","7","7415988"
"Suite at Taman Nusa Bestari 2, Iskandar Puteri","johor","Taman Nusa Bestari 2, Iskandar Puteri","RM 1600.00","2019-06-28","24/06/2019","7","7415077"
