"Pelangi Damansara, Bandar Utama","bandar-utama","Persiaran Bukit Utama, Bandar Utama, 47800 Petaling Jaya, Selangor, Malaysia","   600      ","2019-09-26","25 Sep 2019","7","HIJDOKKA"
"Pelangi Damansara, Bandar Utama","bandar-utama","Persiaran Bukit Utama, Bandar Utama, 47800 Petaling Jaya, Selangor, Malaysia","   480      ","2019-09-26","25 Sep 2019","7","OXPDUMAZ"
"Pelangi Damansara, Bandar Utama","bandar-utama","Persiaran Bukit Utama, Bandar Utama, 47800 Petaling Jaya, Selangor, Malaysia","   600      ","2019-09-26","25 Sep 2019","7","FDOTBPEM"
"Pelangi Damansara, Bandar Utama","bandar-utama","Persiaran Bukit Utama, Bandar Utama, 47800 Petaling Jaya, Selangor, Malaysia","   1,100      ","2019-09-26","24 Sep 2019","7","YSDEALSZ"
"Perdana Emerald, Damansara Perdana","bandar-utama","Emerald Plaza, Lot F-05, Level L1, Jalan PJU 8/3A, Bandar Damansara Perdana, Selangor, 47820 Petaling Jaya, Malaysia","   800      ","2019-09-26","25 Sep 2019","7","DACKLWFL"
"BU6, Bandar Utama","bandar-utama","Jalan BU 6/10, Bandar Utama, 47800 Petaling Jaya, Selangor, Malaysia","   4,000      ","2019-09-26","22 Sep 2019","7","RIERYVQQ"
"Damansara Utama, Petaling Jaya (5 Rooms)","bandar-utama","SS21, Damansara Utama, Petaling Jaya, Selangor","   2,600      ","2019-09-26","22 Sep 2019","7","RQRCVHSB"
"Pelangi Utama, Bandar Utama","bandar-utama","Jalan Masjid","   680      ","2019-09-26","21 Sep 2019","7","WWWTCMKC"
"Perdana Emerald, Damansara Perdana","bandar-utama","Emerald Plaza, Level L1, Jalan PJU 8/3A, Bandar Damansara Perdana, Selangor, 47820 Petaling Jaya, Malaysia","   2,400      ","2019-09-26","24 Sep 2019","7","UHAOQTCB"
"bandar utama 11","bandar-utama","15 jalan bu 11/6","   730      ","2019-09-26","24 Sep 2019","7","IWXJJVGS"
"Peninsular Residence, Damansara Heights","bandar-utama","Hotel Peninsula Residence, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   525      ","2019-09-26","26 Sep 2019","7","BHNBHDRL"
"10 Semantan Service Suite","bandar-utama","10, Jalan Semantan, Bukit Damansara, 50490, Kuala Lumpur, Malaysia","   1,050      ","2019-09-26","24 Sep 2019","7","BDEBPRAG"
"Palm Spring, Kota Damansara","bandar-utama","Palm Springs Damansara, C-705, Block C, Jalan PJU 3/29, Kota Damansara, 47810, Petaling Jaya, Selangor, 47810 Petaling Jaya, Malaysia","   390      ","2019-09-26","24 Sep 2019","7","OKXZNYOC"
"Empire Damansara Soho 1","bandar-utama","Empire Damansara, Jalan PJU 8/8A, Empire Damansara, 47820 Petaling Jaya, Selangor","   2,000      ","2019-09-26","26 Sep 2019","7","HYSMRROF"
"Sri Wangsaria, Bangsar","bandar-utama","Suite 195-1 Sri Wangsaria, Jalan Ara, 59100 Kuala Lumpur, Malaysia","   4,300      ","2019-09-26","25 Sep 2019","7","RGMOTVKP"
"Palm Spring, Kota Damansara","bandar-utama","Palm Springs Damansara, Block C, Jalan PJU 3/29, Kota Damansara, 47810, Petaling Jaya, Selangor, 47810 Petaling Jaya, Malaysia","   550      ","2019-09-26","25 Sep 2019","7","DUAPYTDO"
"Palm Spring, Kota Damansara","bandar-utama","Palm Springs Damansara, C-705, Block C, Jalan PJU 3/29, Kota Damansara, 47810, Petaling Jaya, Selangor, 47810 Petaling Jaya, Malaysia","   650      ","2019-09-26","25 Sep 2019","7","PLCIHQPF"
"desa mutiara","bandar-utama","PJU7","   680      ","2019-09-26","21 Sep 2019","7","PYSPACAH"
"Palm Springs @ Damansara","bandar-utama","PJU3, Kota Damansara","   1,600      ","2019-09-26","24 Sep 2019","7","IAIRKMVE"
"Palm Spring, Kota Damansara","bandar-utama","Palm Springs Damansara, C-705, Block C, Jalan PJU 3/29, Kota Damansara, 47810, Petaling Jaya, Selangor, 47810 Petaling Jaya, Malaysia","   680      ","2019-09-26","23 Sep 2019","7","DUIRTRVJ"
"Seri Utama, Kota Damansara","bandar-utama","Jalan Sepah Puteri 5/10, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia","   650      ","2019-09-26","26 Sep 2019","7","HNQWBYNA"
"Room for rent in Mutiara Damansara","bandar-utama","mutiara damansara","   650      ","2019-09-26","21 Sep 2019","7","WCPBYVPQ"
"Pacific Place, Ara Damansara","bandar-utama","Ara Damansara, Ara Damansara, 47301 Petaling Jaya, Selangor, Malaysia","   800      ","2019-09-26","24 Sep 2019","7","BJXKWEQV"
"Neo Damansara, Damansara Perdana","bandar-utama","Jalan PJU 8/1, Damansara Perdana, 47820 Petaling Jaya, Selangor, Malaysia","   1,850      ","2019-09-26","26 Sep 2019","7","XDZZKEFV"
"Taman Sri Mawar, Bandar Utama","bandar-utama","Jalan Sri Mawar 3, Bandar Utama, 47400 Petaling Jaya, Selangor, Malaysia","   400      ","2019-09-26","26 Sep 2019","7","LEGFXRJH"
