"fortune avenue, kepong","kepong","Fortune Avenue, Jalan Metro Perdana 1, Taman Usahawan, 52100 Kepong, Kuala Lumpur","   1,300      ","2019-09-26","22 Sep 2019","7","LAPOEQFO"
"First Residence, Kepong","kepong","Jalan Api Api, Kepong Baru, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   600      ","2019-09-26","21 Sep 2019","7","AMXWWSJT"
"First Residence, Kepong","kepong","Jalan Api Api, Kepong Baru, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   1,800      ","2019-09-26","26 Sep 2019","7","SKYTRSCO"
"First Residence, Kepong","kepong","Jalan Api Api, Kepong Baru, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   400      ","2019-09-26","21 Sep 2019","7","LBSUWMVH"
"First Residence, Kepong","kepong","Jalan Api Api, Kepong Baru, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   400      ","2019-09-26","21 Sep 2019","7","HYQWHJKF"
"First Residence, Kepong","kepong","Jalan Api Api, Kepong Baru, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   550      ","2019-09-26","21 Sep 2019","7","EMZWGGZX"
"Desa Satu, Kepong","kepong","Desa Aman Puri, 52100 Kuala Lumpur, Selangor, Malaysia","   650      ","2019-09-26","22 Sep 2019","7","MIXQYVGZ"
"The Westside One, Desa ParkCity","kepong","Jalan Residen Utama, Desa Parkcity, 52200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   1,500      ","2019-09-26","22 Sep 2019","7","RADEQGQH"
"Magnaville","kepong","Magnaville Selayang, Selayang- Kepong highway.","   1,100      ","2019-09-26","26 Sep 2019","7","JPXXDETB"
"Amanja, Kepong","kepong","Jalan Desa 2/4, Desa Aman Puri, 52100 Kuala Lumpur, Selangor, Malaysia","   2,050      ","2019-09-26","26 Sep 2019","7","CSJWVAGT"
