"First Residence, Kepong","kepong","Residensi unggul kepong Japan vista mutiara 1 keeping Batu 52000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   1,600      ","2019-09-12","06 Sep 2019","42","DLKCDKUJ"
"terrace house, Kepong Baru","kepong","No 91, jalan Antoi, Kepong Baru","   1,400      ","2019-09-12","27 Aug 2019","42","FIHXKCCS"
"The Henge Residence, Kepong","kepong","Jalan Metro Perdana Barat 17, Taman Usahawan Kepong, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   500      ","2019-09-12","12 Sep 2019","42","NYFZMTZZ"
"First Residence, Kepong","kepong","Jalan Api Api, Kepong Baru, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   1,800      ","2019-09-12","04 Sep 2019","42","QMCOZLQW"
"Plaza Metro Prima, Kepong","kepong","Jalan Metro Prima, Taman Kepong, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   450      ","2019-09-12","12 Sep 2019","42","AHFLJKGW"
"Casa Magna, Kepong","kepong","Casa Magna Apartment No 2 Jalan Prima 10 Metro Prima Kepong, 52100, Kuala Lumpur, Malaysia","   550      ","2019-09-12","12 Sep 2019","42","BSVJUAYZ"
"The Henge Residence, Kepong","kepong","Jalan Metro Perdana Barat 17, Taman Usahawan Kepong, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   1,800      ","2019-09-12","28 Aug 2019","42","KUSVLRXX"
"Fortune Perdana Lakeside, Kepong","kepong","Jalan Metro Perdana 1, Taman Usahawan Kepong, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   580      ","2019-09-12","02 Sep 2019","42","HJIJABQL"
"Fortune Avenue, Kepong","kepong","Fortune Avenue, Jalan Metro Perdana 2, Taman Usahawan, 52100 Kepong, Kuala Lumpur","   2,000      ","2019-09-12","07 Sep 2019","42","BWHVNUEG"
"Mutiara Magna, Kepong","kepong","A-0-3, Mutiara Magna Apartment","   800      ","2019-09-12","03 Aug 2019","42","QFRADZJU"
"Casa Magna, Kepong","kepong","B06-03, Casa Magna Apartment No 2 Jalan Prima 10 Metro Prima Kepong, 52100, Kuala Lumpur, Malaysia","   550      ","2019-09-12","12 Sep 2019","42","TJCSIHUK"
"Fortune Perdana Lakeside, Kepong","kepong","Jalan Metro Perdana 1, Taman Usahawan Kepong, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   1,600      ","2019-09-12","26 Aug 2019","42","QYFJVDQG"
"First Residence, Kepong","kepong","Jalan Api Api, Kepong Baru, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   1,600      ","2019-09-12","27 Aug 2019","42","VNMRTMKL"
"First Residence, Kepong","kepong","Jalan Api Api, Kepong Baru, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   1,500      ","2019-09-12","26 Aug 2019","42","PRCKOYRR"
"The Henge Residence, Kepong","kepong","Jalan Metro Perdana Barat 17, Taman Usahawan Kepong, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   1,800      ","2019-09-12","19 Aug 2019","42","AXASIUWE"
"The Henge Residence, Kepong","kepong","Jalan Metro Perdana Barat 17, Taman Usahawan Kepong, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   1,800      ","2019-09-12","20 Aug 2019","42","UFTUCFEE"
"The Henge Residence, Kepong","kepong","Jalan Metro Perdana Barat 17, Taman Usahawan Kepong, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   1,500      ","2019-09-12","10 Sep 2019","42","DQKUWEZB"
