"fortune avenue, kepong","kepong","Fortune Avenue, Jalan Metro Perdana 1, Taman Usahawan, 52100 Kepong, Kuala Lumpur","   1,300      ","2019-09-27","22 Sep 2019","8","LAPOEQFO"
"First Residence, Kepong","kepong","Jalan Api Api, Kepong Baru, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   600      ","2019-09-27","21 Sep 2019","8","AMXWWSJT"
"First Residence, Kepong","kepong","Jalan Api Api, Kepong Baru, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   1,800      ","2019-09-27","26 Sep 2019","8","SKYTRSCO"
"First Residence, Kepong","kepong","Jalan Api Api, Kepong Baru, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   400      ","2019-09-27","21 Sep 2019","8","LBSUWMVH"
"First Residence, Kepong","kepong","Jalan Api Api, Kepong Baru, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   400      ","2019-09-27","21 Sep 2019","8","HYQWHJKF"
"First Residence, Kepong","kepong","Jalan Api Api, Kepong Baru, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   550      ","2019-09-27","21 Sep 2019","8","EMZWGGZX"
"Desa Satu, Kepong","kepong","Desa Aman Puri, 52100 Kuala Lumpur, Selangor, Malaysia","   650      ","2019-09-27","22 Sep 2019","8","MIXQYVGZ"
"Medan Putra Condominium, Bandar Menjalara","kepong","Jalan 6/62, Bandar Menjalara, 52200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   600      ","2019-09-27","27 Sep 2019","8","YLRMYGIY"
"The Westside One, Desa ParkCity","kepong","Jalan Residen Utama, Desa Parkcity, 52200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   1,500      ","2019-09-27","22 Sep 2019","8","RADEQGQH"
"Magnaville","kepong","Magnaville Selayang, Selayang- Kepong highway.","   1,100      ","2019-09-27","26 Sep 2019","8","JPXXDETB"
"Amanja, Kepong","kepong","Jalan Desa 2/4, Desa Aman Puri, 52100 Kuala Lumpur, Selangor, Malaysia","   2,050      ","2019-09-27","26 Sep 2019","8","CSJWVAGT"
"The Henge","kepong","F-18-8,RESIDENSI HENGE, NO. 9,JALAN METRO PERDANA BARAT,","   700      ","2019-09-27","27 Sep 2019","8","REHAXQEG"
"Permai Ria Condominium","kepong","Jalan 1/18B, Taman Batu Permai, Jalan Ipoh","   1,200      ","2019-09-27","20 Sep 2019","8","WXLNRAOG"
"Boh Boh Living Room No. 2","kepong","27, jalan 1/80b","   1,500      ","2019-09-27","20 Sep 2019","8","XQXSKFIU"
"Madam tan","kepong","Jalan Kuang Gunung, Taman Kepong, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur","   600      ","2019-09-27","25 Sep 2019","8","AXNSSVWK"
"Dex @ Kiara East, Jalan Ipoh","kepong","Taman Mastiara, Jalan 1/18B, Taman Mastiara, 51200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","   2,000      ","2019-09-27","26 Sep 2019","8","EWEIUJUX"
"DEX Suites @ Kiara East","kepong","Jalan Kampung Batu, Taman Mastiara, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur","   1,700      ","2019-09-27","27 Sep 2019","8","OLJUXGWQ"
"Dex @ Kiara East, Jalan Ipoh","kepong","Taman Mastiara, Jalan 1/18B, Taman Mastiara, 51200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","   1,800      ","2019-09-27","27 Sep 2019","8","SKMPARUL"
