"Residensi Kerinchi, Bangsar South","bangsar","Jalan Kerinchi, Bangsar South, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   650      ","2019-09-27","25 Sep 2019","8","FJWXYRCC"
"South View, Bangsar South","bangsar","Jalan Kerinchi Kiri, Pantai Dalam, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   1,160      ","2019-09-27","22 Sep 2019","8","WGQRMANB"
"Saville @ The Park, Pantai","bangsar","No. 1, Jalan Pantai Murni 8, Bangsar South, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur","   3,300      ","2019-09-27","24 Sep 2019","8","CFVRZMDQ"
"KL gateway residence","bangsar","Residensi 1, KL Gateway, No. 2, Jalan Kerinchi, Gerbang Kerinchi Lestari","   2,600      ","2019-09-27","26 Sep 2019","8","STXFOUMV"
"Pantai Hillpark 1, Pantai","bangsar","Flat DBKL Bukit Kerinchi, No. 01-12-12, Pantai Dalam, 59200, Kuala Lumpur, Wilayah Persekutuan, 59200 Kuala Lumpur, Malaysia","   1,100      ","2019-09-27","25 Sep 2019","8","QONWTNZX"
"Lucky Garden, Bangsar","bangsar","Persiaran Ara Kiri, Lucky Garden, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   2,800      ","2019-09-27","26 Sep 2019","8","OBBBPFBM"
"Gaya Bangsar, Bangsar","bangsar","Jalan Bangsar Utama 1, Bangsar Utama, 59000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   2,500      ","2019-09-27","22 Sep 2019","8","TXICPKGA"
"The Loft, Bangsar","bangsar","Jalan Penaga, Bukit Bandaraya, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   2,000      ","2019-09-27","27 Sep 2019","8","TUZUBJRE"
"Sri Wangsaria, Bangsar","bangsar","Suite 195-1 Sri Wangsaria, Jalan Ara, 59100 Kuala Lumpur, Malaysia","   4,300      ","2019-09-27","25 Sep 2019","8","RGMOTVKP"
"Peninsular Residence, Damansara Heights","bangsar","Hotel Peninsula Residence, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   525      ","2019-09-27","26 Sep 2019","8","BHNBHDRL"
