"USJ 3, UEP Subang Jaya","subang-jaya","11,Jalan Usj 3/3f, 47600 Subang Jaya, Malaysia","   550      ","2019-09-02","24 Aug 2019","11","NJQDKBKA"
"The Edge Residen, Subang Jaya","subang-jaya","Persiaran Subang Indah, Taman Subang Mewah, 47500 Subang Jaya, Selangor, Malaysia","   900      ","2019-09-02","30 Aug 2019","11","SPCLOASN"
"USJ 2, UEP Subang Jaya","subang-jaya","Jalan USJ 2/4s, Usj 2, 47600 Subang Jaya, Selangor, Malaysia","   550      ","2019-09-02","24 Aug 2019","11","HDCNOEFT"
"Impian Meridian Condominium","subang-jaya","Jalan Subang 1, Usj 1, 47600 Subang Jaya, Selangor","   650      ","2019-09-02","29 Aug 2019","11","JRVAANRU"
"USJ 2, UEP Subang Jaya","subang-jaya","Jalan USJ 2/x, Usj 2, 47600 Subang Jaya, Selangor, Malaysia","   800      ","2019-09-02","23 Aug 2019","11","UMKOSABM"
"USJ 2, UEP Subang Jaya","subang-jaya","Jalan USJ 2/x, Usj 2, 47600 Subang Jaya, Selangor, Malaysia","   500      ","2019-09-02","23 Aug 2019","11","GIRLXBRN"
"Isola Subang Jaya","subang-jaya","SS 16/1","   6,600      ","2019-09-02","24 Aug 2019","11","BGLIBMSK"
"Co- Working Space With Luxury Bedroom- Putra Height- Kingsley Hill","subang-jaya","47, Jln Kingsley 1, Subang Jaya, Selangor","   1,299      ","2019-09-02","28 Aug 2019","11","UALQVEIG"
"USJ 13, UEP Subang Jaya","subang-jaya","Jalan USJ 13/1b, Usj 13, 47630 Subang Jaya, Selangor, Malaysia","   650      ","2019-09-02","26 Aug 2019","11","YMJNODHS"
"Sri Bayu, UEP Subang Jaya","subang-jaya","Jalan USJ 11/2d, Usj 11, 47620 Subang Jaya, Selangor, Malaysia","   2,000      ","2019-09-02","30 Aug 2019","11","ZEAODPBM"
"Single Room at Kingsley hill- Putra Height","subang-jaya","47, jln kingsley 1, subang jaya","   500      ","2019-09-02","29 Aug 2019","11","IXOTQFMI"
"Rhythm Avenue, UEP Subang Jaya","subang-jaya","RL2.102, The USJ 19 City Mall, Persiaran Kewajipan, USJ19,, 47620, Subang Jaya, Selangor, Malaysia","   500      ","2019-09-02","24 Aug 2019","11","HKIMOSMV"
"Pandora Serviced Residences @ Tropicana Metropark, Subang Jaya","subang-jaya","Jalan MP 1, Subang Hi-tech Industrial Park, 40150 Subang Jaya, Selangor, Malaysia","   1,900      ","2019-09-02","01 Sep 2019","11","DUXVIQLZ"
"Pandora Serviced Residences @ Tropicana Metropark, Subang Jaya","subang-jaya","Jalan MP 1, Subang Hi-tech Industrial Park, 40150 Subang Jaya, Selangor, Malaysia","   2,800      ","2019-09-02","30 Aug 2019","11","XYQSSQHL"
"Premium Master Bedroom- Kingsley Hill-Putra Height ( 2 pax Shared Room)","subang-jaya","47, jln kingsley 1, subang jaya","   650      ","2019-09-02","28 Aug 2019","11","FPSVPREV"
"luxury Medium Room- kingsley Hill- Putra Height ( 2 pax Shared Room)","subang-jaya","47, jln kingsley 1, Subang jaya","   500      ","2019-09-02","28 Aug 2019","11","WYUYJBJN"
"Luxury Master Bedroom- Kingsley Hill-putra Height ( 4 pax shared room)","subang-jaya","47, jln kingsley 1, subang jaya","   400      ","2019-09-02","28 Aug 2019","11","LWCXQDUN"
"Medium Room at Kingsley Hill- Putra Height ( for 1-2 pax)","subang-jaya","47, jln kingsley 1, subang jaya,","   600      ","2019-09-02","28 Aug 2019","11","SDMHWDQY"
"Shang Villa, Kelana Jaya","subang-jaya","2A Shang Villa Clubhouse Lot G3 Jalan SS7/15 Kelana Jaya, 47301, Petaling Jaya, Selangor, 47301, Malaysia","   600      ","2019-09-02","01 Sep 2019","11","BMUSDMCP"
