"KL Gateway, Bangsar South","bangsar","Jalan Kerinchi, Bangsar South, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   5,000      ","2019-09-13","11 Sep 2019","43","GWDNPPLM"
"KL Gateway, Bangsar South","bangsar","Jalan Kerinchi, Bangsar South, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   2,400      ","2019-09-13","07 Sep 2019","43","GPCXZCJB"
"KL Gateway Premium Residence, Bangsar South","bangsar","Jalan Kerinchi, Bangsar South, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   4,800      ","2019-09-13","03 Sep 2019","43","XOHOZDYC"
"Southview Residence","bangsar","Southview Residence Bangsar South","   2,200      ","2019-09-13","10 Sep 2019","43","FGAAXYNG"
"Vivo 9seputeh","bangsar","Jalan Klang Lama","   2,000      ","2019-09-13","05 Aug 2019","43","TEGIOART"
"Riverville Residences, Old Klang Road","bangsar","Jalan Taman Seri Sentosa, Taman Sri Sentosa, 58000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   750      ","2019-09-13","12 Sep 2019","43","GNVOLEMB"
"South View, Bangsar South","bangsar","Jalan Kerinchi Kiri, Pantai Dalam, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   2,100      ","2019-09-13","17 Aug 2019","43","GCYHFXQH"
"southbank residence","bangsar","Old Klang Road","   2,500      ","2019-09-13","13 Aug 2019","43","IVLEKXZU"
"VERVE Suites, Old Klang Road","bangsar","KL 1276 Pasar Jalan Klang Lama, Jalan Klang Lama, 58200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","   2,500      ","2019-09-13","15 Aug 2019","43","DMCWKFKL"
"Southview","bangsar","Jalan Kerinchi Kiri 2, Kumpung Kerinchi,","   1,300      ","2019-09-13","12 Sep 2019","43","DWYMGUTO"
"Gasing Indah, Section 5 Petaling Jaya","bangsar","Section 5","   2,000      ","2019-09-13","28 Aug 2019","43","CRYLLXBK"
"Bangsar Baru Fully Furnished Home","bangsar","No. 9, Jalan Telawi, Bangsar Baru, Kuala Lumpur","   4,500      ","2019-09-13","13 Sep 2019","43","MBDNBKRL"
"Lucky Garden, Bangsar","bangsar","Persiaran Ara Kiri, Lucky Garden, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   2,800      ","2019-09-13","13 Sep 2019","43","OBBBPFBM"
"Bangsar Heights Condo","bangsar","Jalan Kaloi","   2,100      ","2019-09-13","15 Aug 2019","43","CXAVGYEY"
"SouthBank Residence, Old Klang Road","bangsar","Jalan Klang Lama, Kuala Lumpur","   2,500      ","2019-09-13","30 Aug 2019","43","XXGOEGDZ"
"Bayu Tasik 1, Bandar Sri Permaisuri","bangsar","Bayu Tasik Condominium, C1-13-08 B, Jalan Sri Pemaisuri 5, Bandar Sri Permaisuri, Wilayah Persekutuan, 56000 Kuala Lumpur, Malaysia","   1,600      ","2019-09-13","10 Sep 2019","43","OKLZOMNO"
"Taman Naga Emas Flat Salak South Garden, KL","bangsar","Taman Naga Emas Flat , Salak South Garden, 57000 Kuala Lumpur","   650      ","2019-09-13","20 Aug 2019","43","NLIPEDTP"
"Rumah Pangsa, Taman Sri Kenari, Kajang","bangsar","A2-05-14, BLOK A, JALAN SRI KENARI 8, RUMAH PANGSA TAMAN SRI KENARI, 43000 KAJANG, SELANGOR","   700      ","2019-09-13","11 Sep 2019","43","YMVXHQWU"
"Residensi Vogue 1","bangsar","Residensi Vogue Suites One KL Eco City, Mid Valley City","   3,999      ","2019-09-13","08 Aug 2019","43","FFBRFEBV"
"10 Semantan Avenue Suite","bangsar","10 Jalan Semantan","   2,500      ","2019-09-13","11 Sep 2019","43","EGLHNKDU"
"Twins, Damansara Heights","bangsar","Lot L2-20 Second Floor Damansara City Mall, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   5,000      ","2019-09-13","21 Aug 2019","43","MFGNYDGR"
"Pangsapuri Merak","bangsar","#5-11, Block Merak, Jalan Pulai Harmoni 1,Kangkar Pulai,Johor","   350      ","2019-09-13","03 Sep 2019","43","AAFNDIOT"
"Residency Mutiara, Brickfields","bangsar","Jalan Rakyat, Brickfields, 50470 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   2,700      ","2019-09-13","21 Aug 2019","43","IBZIWKJW"
"Avilla, Bandar Puchong Jaya","bangsar","Avilla Apartment, Jalan Bangau 11, Puchong, Selangor, 47100 Puchong, Malaysia","   1,700      ","2019-09-13","17 Aug 2019","43","COLMQDRA"
"Sri Penara, Bandar Sri Permaisuri","bangsar","A-0-08 Pangsapuri Sri Penara Jalan Sri Permaisuri 1 Bandar Sri Permaisuri Kuala Lumpur MY 56000, Jalan Sri Permaisuri 1, Bandar Sri Permaisuri, 56000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   250      ","2019-09-13","21 Aug 2019","43","EUEVVLNC"
"Cemara Apartment, Bandar Sri Permaisuri","bangsar","Jalan Sri Pemaisuri 2, Bandar Sri Permaisuri, 56000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   350      ","2019-09-13","03 Sep 2019","43","SMNQLHFT"
"menara pilangi","bangsar","MENARA PELANGI 8 Lorong Ang Seng 2, Brick fields. Unit A-17-04","   800      ","2019-09-13","02 Aug 2019","43","AFTOARRJ"
"Chin woo court","bangsar","chin woo court,off gelugor,jalan san peng,58000,kuala lumpur","   550      ","2019-09-13","12 Sep 2019","43","PMWWCLSV"
"Sri Impian, Brickfields","bangsar","Jalan Ang Seng, Brickfields, 50470 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   2,300      ","2019-09-13","11 Sep 2019","43","NMSVIPOK"
"BK5, Bandar Kinrara","bangsar","Jalan BK 5/6C, Bandar Kinrara 5, 47180 Puchong, Selangor, Malaysia","   700      ","2019-09-13","12 Sep 2019","43","SGMJBOPC"
"Suasana Lumayan, Bandar Sri Permaisuri","bangsar","Jalan Tasik Permaisuri 2, Bandar Tun Razak, 56000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   700      ","2019-09-13","12 Sep 2019","43","AIHDMKSV"
"Bukit Robson Condominium, Seputeh","bangsar","Persiaran Syed Putra 5, Taman Persiaran Desa, 50460 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   3,200      ","2019-09-13","05 Aug 2019","43","LVBSIMJW"
"The Holmes, Bandar Tun Razak","bangsar","No. 3, Jalan Bakti, Bandar Tun Razak, 56000 Kuala Lumpur, Wilayah Persekutuan Kuala LumpurPermaisuri 2, Bandar Tun Abdul Razak, 56000, Kuala Lumpur, Wilayah Persekutuan, 56000, Malaysia","   650      ","2019-09-13","13 Sep 2019","43","QZATHPTT"
"Apartment Desa Tun Razak","bangsar","Bandar Tasik Selatan","   800      ","2019-09-13","17 Aug 2019","43","GGGOYALO"
"Cendana Apartment, Bandar Sri Permaisuri","bangsar","Jalan Sri Permaisuri, Bandar Sri Permaisuri, 56000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   1,100      ","2019-09-13","22 Aug 2019","43","SNFHGHUA"
"Residensi Razakmas, Bandar Tun Razak","bangsar","Residensi Razakmas, No.1, Jalan Bakti, Bandar Tun Razak, 56000 Kuala Lumpur, Malaysia","   450      ","2019-09-13","20 Aug 2019","43","QCHNOVEK"
"The Lumayan Apartment","bangsar","Jalan Tasik Permaisuri 2, Bandar Tun Razak,","   400      ","2019-09-13","15 Aug 2019","43","KGHUJAYW"
