"Pelangi Damansara, Bandar Utama","bandar-utama","Persiaran Surian, Pelangi Damansara, 47800 Petaling Jaya, Selangor","   1,400      ","2019-09-13","26 Aug 2019","43","FLFXKLPQ"
"Pelangi Damansara, Bandar Utama","bandar-utama","Persiaran Bukit Utama, Bandar Utama, 47800 Petaling Jaya, Selangor, Malaysia","   1,500      ","2019-09-13","08 Sep 2019","43","HHXGJMKE"
"Pelangi Damansara, Bandar Utama","bandar-utama","Jalan PJU 6 Persiaran Surian, 47800 Petaling Jaya, Selangor, Malaysia","   1,200      ","2019-09-13","13 Sep 2019","43","KNEJGYNF"
"Pelangi Apartment, Mutiara Damansara","bandar-utama","Pelangi Damansara, 47800 Petaling Jaya, Selangor, Malaysia","   1,200      ","2019-09-13","13 Sep 2019","43","NILHIDJV"
"Metropolitan Square Condo (MSQ)","bandar-utama","Damamsara Perdana","   1,900      ","2019-09-13","10 Sep 2019","43","ZLIUGNLO"
"Bandar Utama Cozy Room For Rent Nearby Mrt","bandar-utama","Bandar Utama","   550      ","2019-09-13","12 Sep 2019","43","SWIKMTBF"
"Pelangi damansara","bandar-utama","Persiaran surian, kota Damansara","   1,500      ","2019-09-13","22 Aug 2019","43","WKYQLKUS"
"Bandar Utama, Damansaya Jaya, 10 Boulevard, Centrepoint","bandar-utama","Jalan Anggerik, PJU6A","   680      ","2019-09-13","12 Sep 2019","43","YNBZKMKM"
"Pelangi Apartment, Mutiara Damansara","bandar-utama","Pelangi Damansara, 47800 Petaling Jaya, Selangor, Malaysia","   950      ","2019-09-13","21 Aug 2019","43","JGVLHDSI"
"Pelangi Utama, Bandar Utama","bandar-utama","Kampung Sungai Kayu Ara, 47400 Petaling Jaya, Selangor, Malaysia","   700      ","2019-09-13","18 Aug 2019","43","AXRRPYDI"
"Pelangi utama condominium","bandar-utama","Jalan masjid kampong kayu ara","   680      ","2019-09-13","12 Sep 2019","43","WRDRIZVL"
"Palm Spring @ Damansara","bandar-utama","Kota Damansara","   450      ","2019-09-13","19 Aug 2019","43","CQUEFMGL"
"Msq Damansara Perdana","bandar-utama","Damansara Perdana","   1,690      ","2019-09-13","06 Sep 2019","43","IBIDVQYR"
"Pelangi Utama, Bandar Utama","bandar-utama","Kampung Sungai Kayu Ara, 47400 Petaling Jaya, Selangor, Malaysia","   500      ","2019-09-13","08 Sep 2019","43","SSRWECGT"
"Pelangi Utama, Bandar Utama","bandar-utama","Jalan Masjid","   680      ","2019-09-13","12 Sep 2019","43","WWWTCMKC"
"Pelangi Utama, Bandar Utama","bandar-utama","Kampung Sungai Kayu Ara, 47400 Petaling Jaya, Selangor, Malaysia","   580      ","2019-09-13","12 Sep 2019","43","KJNCRWBE"
"Bandar Utama","bandar-utama","Jalan BU1/2/3/4/7/10","   550      ","2019-09-13","12 Sep 2019","43","YDCAECCN"
"Stunning master room in the clouds - Bandar Utama","bandar-utama","9 Bukit Utama","   2,400      ","2019-09-13","12 Sep 2019","43","WNDXQCAC"
"Puncak Damansara, Bandar Utama","bandar-utama","Puncak Damansara Condominium, jalan teratai, Malaysia","   1,400      ","2019-09-13","14 Aug 2019","43","KHNIJSGG"
"Bangsar Baru Fully Furnished Home","bandar-utama","No. 9, Jalan Telawi, Bangsar Baru, Kuala Lumpur","   4,500      ","2019-09-13","13 Sep 2019","43","MBDNBKRL"
"Chestwood 2 Townhouse, Bandar Utama","bandar-utama","Chestwood 2 Townhouse, No. 11-2, Jalan Mawar, PJU6A Petaling Jaya","   2,200      ","2019-09-13","02 Sep 2019","43","IUUHGYPA"
"Pelangi utama condominium","bandar-utama","Jalan masjid","   700      ","2019-09-13","12 Sep 2019","43","BMPBKGEO"
"Pelangi utama condominium","bandar-utama","Jalan masjid","   850      ","2019-09-13","12 Sep 2019","43","ZBKWAZQX"
"One Damansara, Damansara Damai","bandar-utama","A-5-16, One damasara Condo, Jalan Pju10/3c, pju10 Damansara Damai, Petaling Jaya","   2,000      ","2019-09-13","08 Aug 2019","43","LDVPGHCL"
"Bandar Utama","bandar-utama","BU3, Bandar Utama","   600      ","2019-09-13","15 Aug 2019","43","KDYAWZPZ"
"Small Room For Rent in Bandar Utama BU3","bandar-utama","Jalan BU 3","   450      ","2019-09-13","12 Sep 2019","43","XXAHTKNU"
"Desa Mutiara Apartment, Mutiara Damansara","bandar-utama","Jalan PJU 7/16, Mutiara Homes, 47810 Petaling Jaya, Selangor, Malaysia","   1,500      ","2019-09-13","02 Sep 2019","43","KQDURICQ"
"bandar utama","bandar-utama","jalan bu 11/6","   750      ","2019-09-13","12 Sep 2019","43","OFJGOFTP"
"Bandar Utama","bandar-utama","Jalan BU 1/2","   550      ","2019-09-13","10 Sep 2019","43","GXRBFTUK"
"Glomac Centro, Bandar Utama","bandar-utama","Lorong Masjid 2, Kampung Sungai Kayu Ara, 47400 Petaling Jaya, Selangor, Malaysia","   2,550      ","2019-09-13","17 Aug 2019","43","PUVBJJZI"
"Glomac Centro, Bandar Utama","bandar-utama","Lorong Masjid 2, Kampung Sungai Kayu Ara, 47400 Petaling Jaya, Selangor, Malaysia","   635      ","2019-09-13","12 Sep 2019","43","OHZNFMLJ"
"Twins, Damansara Heights","bandar-utama","Lot L2-20 Second Floor Damansara City Mall, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   5,000      ","2019-09-13","21 Aug 2019","43","MFGNYDGR"
"Pelangi Astana, Bandar Utama","bandar-utama","Persiaran Surian, 47800 Petaling Jaya, Selangor, Malaysia","   700      ","2019-09-13","12 Sep 2019","43","DFUCWCOD"
"Empire City, Damansara Perdana","bandar-utama","60000 Petaling Jaya, Selangor, Malaysia","   1,150      ","2019-09-13","13 Sep 2019","43","DRYGWPHB"
"Pangsapuri Sri Meranti","bandar-utama","Persiaran Meranti, Bandar Sri Damansara","   660      ","2019-09-13","01 Sep 2019","43","YMMWHXIF"
"Pelangi Condo Kota Damansara","bandar-utama","Jalan PJU 6, Persiaran Surian, Kota Damansara","   1,500      ","2019-09-13","28 Aug 2019","43","GKXRYLMO"
"Palm Spring, Kota Damansara","bandar-utama","Palm Springs Damansara, C-705, Block C, Jalan PJU 3/29, Kota Damansara, 47810, Petaling Jaya, Selangor, 47810 Petaling Jaya, Malaysia","   450      ","2019-09-13","17 Aug 2019","43","LVEYPOVG"
"Landed Linked House","bandar-utama","11 Lorong Desa Utama, kampung Kayu Ara","   3,200      ","2019-09-13","18 Aug 2019","43","LFEWUQXH"
"empire city","bandar-utama","Damansara","   1,300      ","2019-09-13","12 Aug 2019","43","SMHLBEGQ"
"One Damansara, Damansara Damai","bandar-utama","Jalan PJU 10/3C, Damansar Damai, 47830 Petaling Jaya, Selangor","   1,600      ","2019-09-13","04 Sep 2019","43","EWRFZEKW"
"Glomac Centro, Bandar Utama","bandar-utama","Lorong Masjid 2, Kampung Sungai Kayu Ara, 47400 Petaling Jaya, Selangor, Malaysia","   2,500      ","2019-09-13","09 Sep 2019","43","QKRHQCMY"
"Suria Utama, Bandar Utama","bandar-utama","Jalan BU 12/6, Bandar Utama, 47800 Petaling Jaya, Selangor, Malaysia","   1,700      ","2019-09-13","30 Aug 2019","43","GNPOKRKN"
"Palm Spring, Kota Damansara","bandar-utama","Palm Springs Damansara, C-905, Block C, Jalan PJU 3/29, Kota Damansara, 47810, Petaling Jaya, Selangor, 47810 Petaling Jaya, Malaysia","   700      ","2019-09-13","12 Sep 2019","43","WHGVSJXY"
"Perdana Exclusive, Damansara Perdana","bandar-utama","Jalan PJU 8/1, Damansara Perdana, 47820 Petaling Jaya, Selangor, Malaysia","   480      ","2019-09-13","05 Sep 2019","43","IWGUOYBJ"
"Neo Damansara, Damansara Perdana","bandar-utama","Jalan PJU 8/1, Damansara Perdana, 47820 Petaling Jaya, Selangor, Malaysia","   1,400      ","2019-09-13","19 Aug 2019","43","QVJFNARQ"
"Perdana Exclusive, Damansara Perdana","bandar-utama","Jalan PJU 8/1, Damansara Perdana, 47820 Petaling Jaya, Selangor, Malaysia","   590      ","2019-09-13","12 Sep 2019","43","CXSGGGRL"
"SD Apartment II, Bandar Sri Damansara","bandar-utama","Persiaran Meranti, Bandar Sri Damansara, 52200 Kuala Lumpur, Selangor, Malaysia","   500      ","2019-09-13","12 Sep 2019","43","RLTELRQQ"
"SD Apartment II, Bandar Sri Damansara","bandar-utama","Persiaran Meranti, Bandar Sri Damansara, 52200 Kuala Lumpur, Selangor, Malaysia","   350      ","2019-09-13","12 Sep 2019","43","HPFNJGQQ"
"Neo Damansara, Office for Sale","bandar-utama","Block F, Neo Damansara","   1,450,000      ","2019-09-13","26 Aug 2019","43","SZYGVMMZ"
"Perdana Emerald, Damansara Perdana","bandar-utama","Jalan PJU 8/3A, Bandar Damansara Perdana, Selangor, 47820 Petaling Jaya, Malaysia","   1,800      ","2019-09-13","07 Sep 2019","43","ZINOYVIZ"
"The Zizz, Damansara Damai","bandar-utama","Jalan PJU 10/1a, Damansara Damai, 47830 Petaling Jaya, Selangor, Malaysia","   700      ","2019-09-13","12 Sep 2019","43","SPZMZKRG"
"Palm Spring, Kota Damansara","bandar-utama","Palm Springs Damansara, C-705, Block C, Jalan PJU 3/29, Kota Damansara, 47810, Petaling Jaya, Selangor, 47810 Petaling Jaya, Malaysia","   580      ","2019-09-13","12 Sep 2019","43","HQCBYOXD"
"Seri Utama, Kota Damansara","bandar-utama","Jalan Sepah Puteri 5/10, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia","   650      ","2019-09-13","06 Sep 2019","43","HNQWBYNA"
"Palm Spring, Kota Damansara","bandar-utama","Palm Springs Damansara, C-705, Block C, Jalan PJU 3/29, Kota Damansara, 47810, Petaling Jaya, Selangor, 47810 Petaling Jaya, Malaysia","   700      ","2019-09-13","06 Sep 2019","43","LAHCYBWJ"
"Palm Spring, Kota Damansara","bandar-utama","Palm Springs Damansara, C-705, Block C, Jalan PJU 3/29, Kota Damansara, 47810, Petaling Jaya, Selangor, 47810 Petaling Jaya, Malaysia","   700      ","2019-09-13","12 Sep 2019","43","WDYYPPDE"
"Palm Spring, Kota Damansara","bandar-utama","Palm Springs Damansara, C-705, Block C, Jalan PJU 3/29, Kota Damansara, 47810, Petaling Jaya, Selangor, 47810 Petaling Jaya, Malaysia","   700      ","2019-09-13","11 Sep 2019","43","SZKQDJZV"
"Palm Spring, Kota Damansara","bandar-utama","Palm Springs Damansara, C-705, Block C, Jalan PJU 3/29, Kota Damansara, 47810, Petaling Jaya, Selangor, 47810 Petaling Jaya, Malaysia","   700      ","2019-09-13","12 Sep 2019","43","BSSBILZH"
"Palm Spring, Kota Damansara","bandar-utama","Palm Springs Damansara, C-705, Block C, Jalan PJU 3/29, Kota Damansara, 47810, Petaling Jaya, Selangor, 47810 Petaling Jaya, Malaysia","   700      ","2019-09-13","04 Sep 2019","43","NKZHZPAX"
"Ritze Perdana 1, Damansara Perdana","bandar-utama","Jalan PJU 8/2, Damansara Perdana, 47820 Petaling Jaya, Selangor, Malaysia","   1,250      ","2019-09-13","11 Sep 2019","43","OBKTAIJS"
"Palm Spring, Kota Damansara","bandar-utama","Palm Springs Damansara, Jalan PJU 3/29, Kota Damansara, 47810, Petaling Jaya, Selangor, 47810 Petaling Jaya, Malaysia","   750      ","2019-09-13","12 Sep 2019","43","MPNLYGKC"
