"Single Room at Bukit Indah, Johor Bahru","johor","Bukit Indah, Johor Bahru","RM 400.00","2019-07-12","11/07/2019","7","7424011"
"Master Room at Kota Masai, Pasir Gudang","johor","Kota Masai, Pasir Gudang","RM 650.00","2019-07-12","11/07/2019","7","7422123"
"Studio Fully Furnished at Meridin Suites Residences / Pangsapuri Meridian / Meridian @ Medini, Cool Blue","johor","Meridin Suites Residences, Medini","RM 1300.00","2019-07-12","11/07/2019","7","7401451"
"Master Room at Taman Perling, Iskandar Puteri , Near Bukit Indah , Taman Sutera","johor","Taman Perling, Iskandar Puteri","RM 600.00","2019-07-12","11/07/2019","7","7423935"
"Studio Designer Fully Furnished at Meridin Suites Residences / Pangsapuri Meridian / Meridian @ Medini, Serene Nature","johor","Meridin Suites Residences, Medini","RM 1300.00","2019-07-12","11/07/2019","7","7403049"
"Aliff Residences / Aliff Utama Studio for rent Next to Capital City Mall Johor Bahru JB Jalan Tahana, off Jalan Tampoi near Aliff Damansara","johor","Johor Bahru, Johor","RM 1100.00","2019-07-12","11/07/2019","7","7358823"
"NO Agent Fee:BIG Master Room (Bukit Indah) @ Indah Residence II (Zone 7): Gated & Guarded: Fully Furnish with Attached Personal Toilet, Johor Bahru","johor","Bukit Indah, Johor Bahru","RM 820.00","2019-07-12","11/07/2019","7","7383298"
"Bedroom @ Bistari Impian Condo - 5 mins to KSL, S'pore (Wi-Fi, Gated Security)","johor","Johor Bahru, Johor","RM 600.00","2019-07-12","11/07/2019","7","7423904"
"Bedroom @ Bistari Impian Condo - 5 mins to KSL, S'pore (Wi-Fi, Gated Security)","johor","Johor Bahru, Johor","RM 600.00","2019-07-12","11/07/2019","7","7410122"
"Skybreeze ?????? 2min walk to Aeon Mall Bukit Indah! ???????Aeon Jusco","johor","Johor Bahru, Johor","RM 600.00","2019-07-12","11/07/2019","7","6674732"
"Middle Room at Taman Universiti, Skudai","johor","Taman Universiti, Skudai","RM 350.00","2019-07-12","11/07/2019","7","7423556"
"Middle Room at Iskandar Puteri, Johor Bahru","johor","Iskandar Puteri, Johor Bahru","RM 550.00","2019-07-12","11/07/2019","7","7423788"
"Middle Room at Taman Nusa Bestari 2, Iskandar Puteri (Near Bukit Indah)","johor","Taman Nusa Bestari 2, Iskandar Puteri","RM 350.00","2019-07-12","11/07/2019","7","7423589"
"Single Room at Taman Perling, Iskandar Puteri (Near Bukit Indah, Utilities Included)","johor","Taman Perling, Iskandar Puteri","RM 350.00","2019-07-12","11/07/2019","7","7423587"
"Room Near HSA, CIQ @ Citywoods(Direct Owner)","johor","Johor Bahru, Johor","RM 980.00","2019-07-12","11/07/2019","7","7423642"
"Middle Room at Taman Universiti, Skudai","johor","Taman Universiti, Skudai","RM 280.00","2019-07-12","11/07/2019","7","7423723"
"Master Room at Setia Indah, Tebrau","johor","Setia Indah, Tebrau","RM 850.00","2019-07-12","10/07/2019","7","7423473"
"Middle Room at Permas Jaya, Johor Bahru","johor","Permas Jaya, Johor Bahru","RM 750.00","2019-07-12","10/07/2019","7","7423469"
"Single Aircon Room at Taman Impian, Skudai","johor","Taman Impian, Skudai","RM 400.00","2019-07-12","10/07/2019","7","7423441"
"Single Room at Taman Perling, Iskandar Puteri","johor","Taman Perling, Iskandar Puteri","RM 500.00","2019-07-12","10/07/2019","7","7423352"
"Single Room at Bukit Indah, Johor Bahru (free WiFi, utility included)","johor","Bukit Indah, Johor Bahru","RM 340.00","2019-07-12","10/07/2019","7","7423168"
"Middle Room at Johor Bahru, Johor","johor","Johor Bahru, Johor","RM 650.00","2019-07-12","10/07/2019","7","7419612"
"Middle Room at Taman Bukit Indah, Johor Bahru","johor","Bukit Indah, Johor Bahru","RM 500.00","2019-07-12","10/07/2019","7","7423265"
"Master Room at Scott Towers, Johor Bahru","johor","Scott Towers, Johor Bahru","RM 450.00","2019-07-12","10/07/2019","7","7422276"
"Sewa bilik - Berhampiran HSA & KPJ, Pusat Bandar, Tmn Pelangi, Tebrau & Larkin","johor","Johor Bahru, Johor","RM 270.00","2019-07-12","10/07/2019","7","7110363"
"Single Room at Taman Kempas Utama, Johor Bahru","johor","Taman Bukit Kempas, Johor Bahru","RM 250.00","2019-07-12","10/07/2019","7","7423300"
"Cozy & Nicely Renovated entire Unit KSL D‘’secret Kempas Indah for Rent","johor","D'Secret Garden, Johor Bahru","RM 1400.00","2019-07-12","10/07/2019","7","7423189"
"Master Room at Bandar Seri Alam, Pasir Gudang","johor","Bandar Seri Alam, Pasir Gudang","RM 600.00","2019-07-12","10/07/2019","7","7423303"
"3B2R Shop Apartment for rent at Taman Nusa Bestari 2(Beside Taman Sri Yakoop)","johor","Taman Nusa Bestari 2, Iskandar Puteri","RM 800.00","2019-07-12","10/07/2019","7","7423278"
"Furnish Room For Rent","johor","Johor Bahru, Johor","RM 600.00","2019-07-12","10/07/2019","7","7314098"
"Furnished Room at Apartment Vista Seri Alam, Pasir Gudang","johor","Bandar Seri Alam, Pasir Gudang","RM 350.00","2019-07-12","10/07/2019","7","7423098"
"Single Room at Johor Bahru, Johor","johor","Johor Bahru, Johor","RM 250.00","2019-07-12","10/07/2019","7","7423160"
"Middle Room at Johor Bahru, Johor","johor","Johor Bahru, Johor","RM 600.00","2019-07-12","10/07/2019","7","7423223"
