"First Residence, Kepong","kepong","Residensi unggul kepong Japan vista mutiara 1 keeping Batu 52000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   1,600      ","2019-09-09","06 Sep 2019","42","DLKCDKUJ"
"terrace house, Kepong Baru","kepong","No 91, jalan Antoi, Kepong Baru","   1,400      ","2019-09-09","27 Aug 2019","42","FIHXKCCS"
"First Residence, Kepong","kepong","Jalan Api Api, Kepong Baru, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   1,800      ","2019-09-09","04 Sep 2019","42","QMCOZLQW"
"Casa Magna, Kepong","kepong","Casa Magna Apartment No 2 Jalan Prima 10 Metro Prima Kepong, 52100, Kuala Lumpur, Malaysia","   550      ","2019-09-09","28 Aug 2019","42","BSVJUAYZ"
"The Henge Residence, Kepong","kepong","Jalan Metro Perdana Barat 17, Taman Usahawan Kepong, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   1,800      ","2019-09-09","28 Aug 2019","42","KUSVLRXX"
"Fortune Perdana Lakeside, Kepong","kepong","Jalan Metro Perdana 1, Taman Usahawan Kepong, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   580      ","2019-09-09","02 Sep 2019","42","HJIJABQL"
"The Henge Kepong","kepong","No.9, Jalan Metro Perdana Barat, Taman Metropolitan Kepong","   1,650      ","2019-09-09","07 Aug 2019","42","FTJDNQTC"
"Fortune Avenue, Kepong","kepong","Fortune Avenue, Jalan Metro Perdana 2, Taman Usahawan, 52100 Kepong, Kuala Lumpur","   2,000      ","2019-09-09","07 Sep 2019","42","BWHVNUEG"
"Mutiara Magna, Kepong","kepong","A-0-3, Mutiara Magna Apartment","   800      ","2019-09-09","03 Aug 2019","42","QFRADZJU"
"Casa Magna, Kepong","kepong","B06-03, Casa Magna Apartment No 2 Jalan Prima 10 Metro Prima Kepong, 52100, Kuala Lumpur, Malaysia","   550      ","2019-09-09","03 Aug 2019","42","TJCSIHUK"
"Fortune Perdana Lakeside, Kepong","kepong","Jalan Metro Perdana 1, Taman Usahawan Kepong, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   1,600      ","2019-09-09","26 Aug 2019","42","QYFJVDQG"
"First Residence, Kepong","kepong","Jalan Api Api, Kepong Baru, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   1,600      ","2019-09-09","27 Aug 2019","42","VNMRTMKL"
"First Residence, Kepong","kepong","Jalan Api Api, Kepong Baru, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   1,500      ","2019-09-09","26 Aug 2019","42","PRCKOYRR"
"The Henge Residence, Kepong","kepong","Jalan Metro Perdana Barat 17, Taman Usahawan Kepong, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   1,800      ","2019-09-09","19 Aug 2019","42","AXASIUWE"
"The Henge Residence, Kepong","kepong","Jalan Metro Perdana Barat 17, Taman Usahawan Kepong, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   1,800      ","2019-09-09","20 Aug 2019","42","UFTUCFEE"
"Aircon Room AT Kepong Taman Fadason","kepong","jln 9/17 , taman fadason","   570      ","2019-09-09","17 Aug 2019","42","QJTKCFCM"
"2 Storey Link House , Bandar Sri Damansara","kepong","18 Jalan Mahogani SD1/4","   1,400      ","2019-09-09","05 Aug 2019","42","ERTLHNMF"
"Aman Dua, Kepong","kepong","Desa Aman Puri kepong","   1,000      ","2019-09-09","29 Aug 2019","42","XZLMYDUM"
"Metropolitan Kepong","kepong","PPA1M","   600      ","2019-09-09","19 Aug 2019","42","KINPFJFM"
"Damasara Sutera Apartment Kepong For Rent","kepong","Persiaran KIP Kepong","   1,200      ","2019-09-09","01 Aug 2019","42","THOYUWBX"
"Mutiara Magna, Kepong","kepong","Block D - 00 - 21, Surau Al Hijrah, Pangsapuri Mutiara Magna, Jalan Metro Prima, 2, 52100, Wilayah Persekutuan Kuala Lumpur, Malaysia","   400      ","2019-09-09","13 Aug 2019","42","OSJQXJGU"
"Desa Jaya, Kepong","kepong","No.37 jalan 52/1 ,desa jaya kepong","   650      ","2019-09-09","09 Aug 2019","42","OYVRGYZW"
"Plaza Medan Putra, Bandar Menjalara","kepong","Jalan Medan Putra 6, Medan Putra Bussiness Centre, 52200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia","   450      ","2019-09-09","02 Aug 2019","42","SXABJBJU"
