"M Condominium @ Larkin Johor Bahru Middle Room","johor","Johor Bahru, Johor","RM 650.00","2019-09-13","12/09/2019","7","7394378"
"Middle Room at Johor Bahru, Johor","johor","Johor Bahru, Johor","RM 500.00","2019-09-13","12/09/2019","7","7448140"
"Single Room at SuriaMas Suites for Rent , Larkin , Johor Bahru","johor","SuriaMas Suites, Johor Bahru","RM 450.00","2019-09-13","12/09/2019","7","7449568"
"Middle Room at Taman Ungku Tun Aminah, Skudai","johor","Taman Ungku Tun Aminah, Skudai","RM 450.00","2019-09-13","12/09/2019","7","7449369"
"Single Room at Taman Mutiara Rini, Skudai","johor","Taman Mutiara Rini, Skudai","RM 350.00","2019-09-13","12/09/2019","7","7449374"
"Single Room at Taman Kempas Utama, Johor Bahru","johor","Taman Bukit Kempas, Johor Bahru","RM 250.00","2019-09-13","12/09/2019","7","7449094"
"Middle Room at Tebrau City Residence Apartment, Johor Bahru","johor","Tebrau City Residence Apartment, Johor Bahru","RM 450.00","2019-09-13","12/09/2019","7","7449612"
"Middle Room at Setia Tropika, Johor Bahru","johor","Setia Tropika, Johor Bahru","RM 600.00","2019-09-13","12/09/2019","7","7449089"
"MASTER ROOM Desaru, 20 mins to Pengerang, 10 mins to Desaru Coast Hard Rock Incl Utils","johor","Lotus Desaru Beach Resort, Kota Tinggi","RM 750.00","2019-09-13","12/09/2019","7","7439990"
"Middle Room at Taman Mutiara Rini, Skudai","johor","Taman Mutiara Rini, Skudai","RM 450.00","2019-09-13","12/09/2019","7","7449366"
"Single Room Near Bukit Indah at Taman Nusa Bestari 2, Iskandar Puteri (Air Cond, Private Toilet)","johor","Taman Nusa Bestari 2, Iskandar Puteri","RM 320.00","2019-09-13","12/09/2019","7","7449235"
"Single Room at Golden Sands Seaview Residence, Johor Bahru (NO AGENT FEES, FULLY FURNISHED)","johor","Golden Sands Seaview Residence, Johor Bahru","RM 600.00","2019-09-13","12/09/2019","7","7449392"
"Single Room for Malay Female Muslimah","johor","Nusajaya, Johor Bahru","RM 450.00","2019-09-13","12/09/2019","7","7445646"
"Middle Room at Bukit Indah, Johor Bahru","johor","Horizon Hills, Iskandar Puteri","RM 650.00","2019-09-13","12/09/2019","7","7449375"
"Single Room at Batu Pahat, Johor","johor","Batu Pahat, Johor","RM 200.00","2019-09-13","12/09/2019","7","7370167"
"Middle Room at Johor Bahru, Johor","johor","Johor Bahru, Johor","RM 480.00","2019-09-13","12/09/2019","7","7447590"
"Middle Room at Johor Bahru, Johor","johor","Johor Bahru, Johor","RM 600.00","2019-09-13","12/09/2019","7","7448293"
"Single Room at Johor Bahru, Johor","johor","Johor Bahru, Johor","RM 450.00","2019-09-13","12/09/2019","7","7406635"
"Master Room at Century Garden, Johor Bahru","johor","Century Garden, Johor Bahru","RM 600.00","2019-09-13","12/09/2019","7","7448431"
"Middle Room at Horizon Hills, Iskandar Puteri","johor","Horizon Hills, Iskandar Puteri","RM 500.00","2019-09-13","12/09/2019","7","7449408"
"Middle Room at Johor Bahru, Johor","johor","Johor Bahru, Johor","RM 450.00","2019-09-13","12/09/2019","7","7449204"
"Master Room at Taman Sierra Perdana, Pasir Gudang","johor","Taman Sierra Perdana, Pasir Gudang","RM 700.00","2019-09-13","12/09/2019","7","7449436"
"Middle Room at Johor Bahru, Johor","johor","Johor Bahru, Johor","RM 650.00","2019-09-13","12/09/2019","7","7449189"
"New SINGLE ROOM for rent","johor","SuriaMas Suites, Johor Bahru","RM 450.00","2019-09-13","12/09/2019","7","7448275"
"Middle Room at Taman Universiti, Skudai","johor","Taman Universiti, Skudai","RM 270.00","2019-09-13","12/09/2019","7","7449026"
"Middle Room at Permas Ville, Permas Jaya","johor","Permas Ville, Permas Jaya","RM 500.00","2019-09-13","12/09/2019","7","7366453"
"Middle Room at Johor Bahru, Johor","johor","Johor Bahru, Johor","RM 480.00","2019-09-13","11/09/2019","7","7443405"
"Middle Room at Century Garden, Johor Bahru","johor","Century Garden, Johor Bahru","RM 500.00","2019-09-13","11/09/2019","7","7448300"
"mosaic / southkey / room","johor","Johor Bahru, Johor","RM 800.00","2019-09-13","11/09/2019","7","7448355"
"Medium room to let at Bukit Indah","johor","Nusajaya, Johor Bahru","RM 500.00","2019-09-13","11/09/2019","7","7237641"
"Master Room at Skudai, Johor Bahru","johor","Skudai, Johor Bahru","RM 650.00","2019-09-13","11/09/2019","7","7449072"
"Single Room at HARMONI VISTA, BANDAR UNIVERSITI PAGOH","johor","Taman Pagoh Jaya, Muar","RM 400.00","2019-09-13","11/09/2019","7","7449024"
"Middle Room at Taman Mount Austin, Tebrau","johor","Taman Mount Austin, Tebrau","RM 450.00","2019-09-13","11/09/2019","7","7419495"
"Single Room at Taman Tanjung Gading, Muar","johor","Taman Tanjung Gading, Muar","RM 450.00","2019-09-13","11/09/2019","7","7448390"
"Master Room at Taman Mutiara Rini, Skudai","johor","Taman Mutiara Rini, Skudai","RM 700.00","2019-09-13","11/09/2019","7","7387872"
"Middle Room at Horizon Residence, Iskandar Puteri","johor","Horizon Residence, Iskandar Puteri","RM 450.00","2019-09-13","11/09/2019","7","7448467"
"Inclusive All Utilities & Wifi (30Mbps)@ Eco Summer","johor","Johor Bahru, Johor","RM 650.00","2019-09-13","10/09/2019","7","7447916"
"Free Utilities ? Fully Furnished with Wifi(300Mbps) @ Eco Summer","johor","Johor Bahru, Johor","RM 650.00","2019-09-13","10/09/2019","7","7447918"
"Middle Room at Jentayu Residency beside Capital Mall","johor","Johor Bahru, Johor","RM 400.00","2019-09-13","10/09/2019","7","7447403"
"Master Room at Johor Bahru, Johor","johor","Johor Bahru, Johor","RM 750.00","2019-09-13","10/09/2019","7","7388569"
"Medium Room at Johor Bahru, Johor","johor","Johor Bahru, Johor","RM 900.00","2019-09-13","10/09/2019","7","7349867"
"Middle Room at Taman Scientex, Pasir Gudang","johor","Taman Scientex, Pasir Gudang","RM 350.00","2019-09-13","10/09/2019","7","7448584"
"Bilik Sewa Free Internet Bandar Seri Alam, Pasir Gudang","johor","Bandar Seri Alam, Pasir Gudang","RM 200.00","2019-09-13","10/09/2019","7","7429116"
"Studio at Almas, Puteri Harbour","johor","Almas, Puteri Harbour","RM 1300.00","2019-09-13","10/09/2019","7","7401525"
"Studio at Vista Heights Johor Bahru, Johor","johor","Johor Bahru, Johor","RM 800.00","2019-09-13","10/09/2019","7","7379285"
"Single Room at Permas Jaya, Johor Bahru","johor","Permas Jaya, Johor Bahru","RM 400.00","2019-09-13","10/09/2019","7","7448003"
"Middle Room at Eco Summer, Taman Ekoflora (Free Utilities/Free WIFI/Low Deposit)","johor","Setia Indah, Tebrau","RM 650.00","2019-09-13","10/09/2019","7","7356586"
"INCLUDE ALL UTILITIES AND WIFI (300mpbs) @Eco Summer","johor","Taman Mount Austin, Tebrau","RM 600.00","2019-09-13","10/09/2019","7","7447921"
"Common room with private bathroom fully-furnished @ Horizon Hills","johor","Horizon Hills, Iskandar Puteri","RM 650.00","2019-09-13","10/09/2019","7","7448484"
"Bilik Sewa Perempuan Single Pasir Gudang","johor","Pasir Gudang, Johor Bahru","RM 350.00","2019-09-13","10/09/2019","7","7429123"
"Middle Room at Bukit Indah G&G (Jalan Indah7), Johor Bahru","johor","Bukit Indah, Johor Bahru","RM 550.00","2019-09-13","10/09/2019","7","7447982"
"Middle Room at Setia Tropika, Johor Bahru","johor","Setia Tropika, Johor Bahru","RM 600.00","2019-09-13","10/09/2019","7","7447414"
"Master Room at Johor Bahru, Johor","johor","Johor Bahru, Johor","RM 750.00","2019-09-13","10/09/2019","7","7376340"
"Medium Room at Johor Bahru, Johor","johor","Johor Bahru, Johor","RM 900.00","2019-09-13","10/09/2019","7","7352766"
"AC ROOM SO NEAR TO JBCIQ, JBCC, CITY SQ 1 minute walk","johor","City Square Office Tower, Johor Bahru","RM 480.00","2019-09-13","10/09/2019","7","7447286"
"Middle Room at Bukit Indah, Johor Bahru","johor","Bukit Indah, Johor Bahru","RM 450.00","2019-09-13","10/09/2019","7","7448465"
"Middle Room at Century Garden, Johor Bahru","johor","Century Garden, Johor Bahru","RM 450.00","2019-09-13","10/09/2019","7","7448428"
"Middle Room at Seasons Luxury Apartments, Johor Bahru (FREE UTILITIES & WIFI, 5mins to CIQ)","johor","Seasons Luxury Apartments, Johor Bahru","RM 700.00","2019-09-13","10/09/2019","7","7364149"
"Medium Room at Johor Bahru, Johor","johor","Johor Bahru, Johor","RM 900.00","2019-09-13","10/09/2019","7","7349853"
"Middle Room at Johor Bahru, Johor","johor","Johor Bahru, Johor","RM 250.00","2019-09-13","10/09/2019","7","7447873"
"Bedroom @ Bistari Impian Condo - 5 mins to KSL, S'pore (Wi-Fi, Gated Security)","johor","Johor Bahru, Johor","RM 600.00","2019-09-13","10/09/2019","7","7448304"
"INCLUDE ALL UTILITIES AND WIFI (300mbps) @ Eco Summer, Setia Indah, Mount Austin","johor","Setia Indah, Tebrau","RM 600.00","2019-09-13","10/09/2019","7","7447922"
"Single Room at Desa Muafakat, Johor Bahru","johor","Desa Muafakat, Johor Bahru","RM 300.00","2019-09-13","10/09/2019","7","7447604"
"Including TNB & SAJ& Wifi(300Mbps)@ Eco Summer","johor","Taman Mount Austin, Tebrau","RM 650.00","2019-09-13","10/09/2019","7","7447909"
"Single Room at Taman Kempas Utama, Johor Bahru","johor","Taman Bukit Kempas, Johor Bahru","RM 250.00","2019-09-13","10/09/2019","7","7447430"
"Suite at Johor Bahru, Johor","johor","Johor Bahru, Johor","RM 600.00","2019-09-13","10/09/2019","7","7448320"
"Middle Room at Taman Daya, Tebrau","johor","Taman Daya, Tebrau","RM 450.00","2019-09-13","10/09/2019","7","7442032"
"Fully Furnished Room for Rent at Gelang Patah for Female","johor","Gelang Patah, Johor Bahru","RM 500.00","2019-09-13","10/09/2019","7","7448165"
"Small Room | 1 pax | Alam Sutera LRT","selangor","The Zest, Bandar Kinrara","RM 530.00","2019-09-13","12/09/2019","7","7449708"
"Master Room at UITM, UNISEL, Seksyen 7, Shah Alam, Selangor","selangor","Shah Alam, Selangor","RM 750.00","2019-09-13","12/09/2019","7","7449671"
"FREE WIFI & Middle Room at USJ 18, UEP Subang Jaya 400m Walking distance to USJ21 LRT","selangor","USJ 18, UEP Subang Jaya","RM 550.00","2019-09-13","12/09/2019","7","7449685"
"Room Rent at Tropicana Indah , Walking Distance Thomson Hospital, Segi & MRT , Free High Speed WI-FI","selangor","Tropicana, Petaling Jaya","RM 500.00","2019-09-13","12/09/2019","7","7348691"
